"site_id","id","site_id2","site_name","latitude","longitude","address","site_owner_id","site_transmission_type_id","TransmissionOwner","active","note","province_id"
"BDAL01",1,"","An Lão",14.6109,108.89075,"","",4,4,"_binary '\1'","","BD"
"BDAL02",2,"","Xuân Phong",14.55844,108.90141,"","",1,1,"_binary '\1'","","BD"
"BDAL03",3,"","An Trung",14.6454,108.85778,"","",1,1,"_binary '\1'","","BD"
"BDAL04",4,"","An Hòa",14.53746,108.906567,"","",1,1,"_binary '\1'","","BD"
"BDAL05",5,"","An Tân",14.59007,108.89748,"","",1,1,"_binary '\1'","","BD"
"BDAL06",6,"","MT-2016-0130",14.546506,108.903241,"","",1,1,"_binary '\1'","","BD"
"BDAL07",7,"","MT-2016-0129",14.57323,108.90044,"","",1,1,"_binary '\1'","","BD"
"BDAN01",8,"","Gò Găng",13.95347,109.0727,"","",2,2,"_binary '\1'","","BD"
"BDAN02",9,"","Đập Đá",13.9251,109.08839,"","",2,2,"_binary '\1'","","BD"
"BDAN03",10,"","Nhơn Lộc",13.86812,109.01749,"","",1,1,"_binary '\1'","","BD"
"BDAN04",11,"","An Nhơn",13.88729,109.11353,"","",1,1,"_binary '\1'","","BD"
"BDAN05",12,"","An Nhơn",13.86393,109.09785,"","",2,2,"_binary '\1'","","BD"
"BDAN06",13,"","Nhơn Phong",13.934847,109.144213,"","",2,2,"_binary '\1'","","BD"
